Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
27,Renan Castro,Amazonas,Amazonas,LB,LB,1,29,0,,13,883,Brazil,Brazil,left,175,74,no,8.15,4.28247,1.220778,4.38495,8.96972,12.640948,1.53,0.813252,0.2,0.206677,1.43,0.1,0.09,0.92,6.01502,0.2,1.22,1.529124,BRA2,Testing,2024,0.8277656103873806,0.8587499901943563,0.8432578002908684
28,Hayner,Santos,Santos,"RB, LB, RW",RB,1,29,800000,2024-12-31,20,749,Brazil,Brazil,right,178,71,no,9.37,4.086870999999999,1.080072,0.9599040000000001,3.966874999999999,7.44667,4.09,4.325,1.32,2.524445,2.28,0.72,0.04,0.48,2.045344,0.36,0.96,1.079844,BRA2,Testing,2024,0.5167146975761564,0.5646207882121823,0.5406677428941693
29,Dieguinho,Goiás,Goiás,RB,RB,1,28,1000000,2024-12-31,31,2786,Brazil,Brazil,right,175,68,no,9.85,4.874675,0.943447,1.593856,7.735104,10.5625,3.19,4.386255,0.62,2.146774,3.15,0.39,0.06,0.78,5.3625,0.49,0.85,1.171054,BRA2,Testing,2024,0.8337018726236592,0.8771774075448651,0.8554396400842621
30,G. Risso,Ponte Preta,Ponte Preta,LB,LB,1,28,300000,2024-12-31,24,2049,Argentina,Argentina,left,179,71,yes,10.48,4.0614,0.368,3.417645,9.599405999999998,9.782721,1.52,1.061081,0.32,0.4625,0.83,0.18,0.05,0.74,5.170893,0.05,1.02,1.013784,BRA2,Testing,2024,0.6438192549334074,0.6605505197183387,0.6521848873258731
31,Marcinho,Ituano,Ituano,RB,RB,1,28,450000,2024-12-31,18,1718,Brazil,Brazil,right,178,76,no,8.54,4.086341999999999,1.573637,3.457349999999999,6.807684,10.054674,3.09,2.302719,0.31,1.260105,1.73,0.26,0.11,1.05,4.24401,0.52,1.41,1.884025,BRA2,Testing,2024,0.8683805381237141,0.8431895537908516,0.8557850459572829
32,Bryan,Paysandu,Paysandu,"LB, RB",LB,1,28,50000,2024-12-31,18,1466,Brazil,Brazil,right,175,74,no,7.12,3.869312,1.904968,1.226544,5.405745,8.413405,2.82,2.640671,1.11,1.65851,2.52,0.25,0.05,0.55,4.544532,0.25,1.11,0.98059,BRA2,Testing,2024,0.5355584631451477,0.5887071413578963,0.562132802251522
33,Sávio,Operário PR,Operário PR,RB,RB,1,28,100000,2024-11-15,12,879,Brazil,Brazil,right,169,64,no,5.78,2.65914,1.039114,1.157166,3.35088,10.745736,0.92,1.848912,0.46,0.6933680000000001,1.5,0.23,0.05,0.69,3.695214999999999,0.35,0.23,0.46,BRA2,Testing,2024,0.2431388488205505,0.3096439760159056,0.2763914124182281
34,Jefferson,Guarani,Guarani,LB,LB,1,27,500000,2024-12-31,26,2238,Brazil,Brazil,left,178,69,no,6.92,3.500455,1.445337,2.855049,7.63813,12.0274,2.13,1.490652,0.4,0.60625,0.6,0.16,0.1,0.97,4.587336,0.48,1.37,1.648712,BRA2,Testing,2024,0.797506840261598,0.8481788558885712,0.8228428480750847
35,Felipinho,Sport Recife,Sport Recife,LB,LB,1,27,500000,2026-12-31,19,1411,Brazil,Brazil,left,177,74,no,8.04,3.633014000000001,1.210667,2.29827,5.7384,11.92737,2.74,2.23329,0.83,1.53341,1.21,0.13,0.05,0.64,4.212288,0.26,0.96,1.0846,BRA2,Testing,2024,0.6841421578217542,0.713008552452787,0.6985753551372706
36,Reverson,Grêmio Novorizontino,Grêmio Novorizontino,"LB, LCB, LWB",LB,1,27,200000,2025-12-31,28,2203,Brazil,Brazil,left,175,71,no,5.68,3.22949,1.062471,2.53385,5.351517000000001,7.02525,1.88,1.592696,0.45,1.185152,1.8,0.29,0.04,0.69,3.14348,0.16,0.45,0.61125,BRA2,Testing,2024,0.2927632637711547,0.3146132773294915,0.3036882705503231
