Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,xG,xA,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Duelos_Ofensivos_Ganhos_LM,xG_LM,xA_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,xG_Rank,xA_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,xG_Percentil,xA_Percentil
10,0.808264,0.687297,0.344383,0.292458,0.370958,0.322581,0.217391,0.625383,Figueiredo,Coritiba,Coritiba,"LAMF, LW, CF",LAMF,10,23,2500000,2026-12-31,30,1511,Brazil,Brazil,right,178,70,yes,BRA2,Testing,2024,Extremo Tático,0.625,11,60,81,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,6.0,6,17,22,25,40.5,43.0,90,90,71,63,58,32,28
11,0.231405,0.237015,0.472545,0.422669,0.580281,0.258065,0.652174,0.619821,Enio,Amazonas,Amazonas,"RW, LW, RAMF",RW,10,23,200000,2025-12-31,33,2606,Brazil,Brazil,right,168,64,no,BRA2,Testing,2024,Extremo Tático,0.62,12,60,80,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,49.0,39,7,8,6,49.5,7.5,18,35,88,86,90,17,87
12,0.671074,0.503707,0.210573,0.412328,0.208712,0.064516,0.913043,0.583348,Paulinho Moccelin,Brusque,Brusque,"LW, CF",LW,10,30,350000,2025-12-31,29,1859,Brazil,Brazil,right,169,62,no,BRA2,Testing,2024,Extremo Tático,0.583,13,60,78,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,12.0,19,30,9,47,57.5,3.0,80,68,50,85,21,4,95
13,0.768595,0.584894,0.398767,0.276906,0.269849,0.096774,0.521739,0.570966,Chico Kim,Mirassol,Mirassol,"RWF, RW, LW",RWF,11,33,350000,2024-12-31,32,1787,Brazil,"Brazil, Korea Republic",right,175,69,no,BRA2,Testing,2024,Extremo Tático,0.571,14,60,76,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,7.0,13,9,25,40,55.5,16.0,88,78,85,58,33,7,73
14,0.269421,0.211812,0.307373,0.512163,0.433414,0.354839,0.478261,0.548565,Jean Dias,Paysandu,Paysandu,"RAMF, LAMF, RW",RAMF,10,34,350000,2024-12-31,26,1481,Brazil,Brazil,right,170,66,no,BRA2,Testing,2024,Extremo Tático,0.549,15,60,75,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,45.0,47,19,4,16,36.5,18.5,25,21,68,93,73,39,69
15,0.618182,0.522484,0.184852,0.300516,0.411549,0.548387,0.26087,0.515656,Maxwell,Operário PR,Operário PR,"LW, LAMF, LWF",LW,10,29,100000,2024-12-31,26,1848,Brazil,Brazil,right,180,68,no,BRA2,Testing,2024,Extremo Tático,0.516,16,60,73,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,17.0,17,37,20,21,14.5,36.5,71,71,38,66,65,75,39
16,0.168595,0.227702,0.526301,0.393889,0.002209,0.064516,0.043478,0.497277,Pedro Lucas,Operário PR,Operário PR,"RW, RAMF, RCMF",RW,10,22,1200000,2025-12-31,15,818,Brazil,Brazil,left,173,67,no,BRA2,Testing,2024,Extremo Tático,0.497,17,60,71,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,54.0,44,5,12,59,57.5,56.5,10,26,91,80,1,4,5
17,0.590083,0.460987,0.190614,0.328868,0.287642,0.290323,0.391304,0.494466,Marcinho,Chapecoense,Chapecoense,"LAMF, LW",LAMF,10,29,50000,2025-12-31,30,2489,Brazil,Brazil,right,176,75,no,BRA2,Testing,2024,Extremo Tático,0.494,18,60,70,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,20.0,22,34,16,37,44.5,24.5,66,63,43,73,38,25,59
18,1.0,1.0,0.270626,0.157246,0.539161,0.419355,0.304348,0.491253,Emerson Urso,Vila Nova,Vila Nova,"LW, RW, LAMF",LW,10,23,250000,2025-12-31,20,811,Brazil,Brazil,right,169,67,yes,BRA2,Testing,2024,Extremo Tático,0.491,19,60,68,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,1.0,1,26,47,8,27.5,34.0,98,98,56,21,86,54,43
19,0.636364,0.628995,0.291897,0.20187,0.141173,0.548387,0.130435,0.459218,F. Labandeira,CRB,CRB,"RW, RAMF, RWF",RW,10,28,500000,2024-12-31,20,1006,Uruguay,Uruguay,right,173,68,no,BRA2,Testing,2024,Extremo Tático,0.459,20,60,66,0.449311,0.378195,0.255912,0.271083,0.350544,0.416129,0.374638,16.0,8,21,37,56,14.5,52.5,73,86,65,38,6,75,12
