Unnamed: 0,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Deep_Completions_LM,Passes_ÁreaPênalti_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Deep_Completions_Rank,Passes_ÁreaPênalti_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Deep_Completions_Percentil,Passes_ÁreaPênalti_Certos_Percentil
32,0.761598,0.163502,0.18048,0.918103,0.456538,0.238095,0.241935,0.038978,0.426136,0.362435,0.368157,F. Domínguez,Sport Recife,Sport Recife,"RCMF, AMF, RDMF",RCMF,8,26,600000,2024-12-31,29,2624,Uruguay,"Uruguay, Spain",right,177,69,yes,BRA2,Testing,2024,Segundo Volante Organizador,0.368,33,46,28,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,13,38,43,2.0,4,19.0,31.0,44,9.0,8,71,17,6,95,91,58,32,4,80,82
33,0.996134,0.208561,0.296312,0.267241,0.06813,0.047619,0.198925,0.255343,0.142045,0.12638,0.364272,Gabriel Bispo,Guarani,Guarani,"RCMF, RDMF",RCMF,8,27,300000,2024-11-30,18,1445,Brazil,Brazil,right,177,77,no,BRA2,Testing,2024,Segundo Volante Organizador,0.364,34,46,26,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,2,34,33,26.5,38,39.0,36.0,34,34.0,38,95,26,28,42,17,15,21,26,26,17
34,0.431701,0.011185,0.416471,0.344828,0.116847,0.285714,0.311828,0.274764,0.198864,0.208661,0.345246,Miquéias,Ituano,Ituano,"RCMF, RDMF",RCMF,8,23,0,,33,2801,Brazil,Brazil,right,187,74,yes,BRA2,Testing,2024,Segundo Volante Organizador,0.345,35,46,23,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,38,45,21,17.0,31,13.5,24.5,33,28.0,26,17,2,54,63,32,70,46,28,39,43
35,0.878866,0.211263,0.230178,0.538793,0.162729,0.190476,0.188172,0.244706,0.113636,0.184381,0.342829,Everton Morelli,Coritiba,Coritiba,"RCMF, RDMF",RCMF,8,26,400000,2024-12-31,26,1776,Brazil,Brazil,right,185,73,yes,BRA2,Testing,2024,Segundo Volante Organizador,0.343,36,46,21,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,6,33,40,9.0,23,25.0,39.0,35,38.0,29,86,28,13,80,50,45,15,23,17,36
36,0.484536,0.872098,0.3437,0.090517,0.123403,0.047619,0.198925,0.410213,0.107955,0.188069,0.321024,Rodrigo Lindoso,Operário PR,Operário PR,"LCMF, DMF, RCMF",LCMF,8,35,200000,2024-12-31,15,970,Brazil,Brazil,right,182,79,no,BRA2,Testing,2024,Segundo Volante Organizador,0.321,37,46,19,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,30,3,30,39.0,29,39.0,36.0,19,39.0,27,34,93,34,15,36,15,21,58,15,41
37,0.463918,0.218237,0.260458,0.258621,0.298891,0.238095,0.543011,0.17958,0.238636,0.271805,0.310483,Dionísio,Brusque,Brusque,"RCMF, LCMF",RCMF,8,30,50000,2024-12-31,18,1073,Brazil,Brazil,right,172,68,no,BRA2,Testing,2024,Segundo Volante Organizador,0.31,38,46,17,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,32,31,37,28.0,12,19.0,6.0,39,22.5,18,30,32,19,39,73,58,86,15,51,60
38,0.79768,0.41403,0.267365,0.125,0.065087,0.0,0.064516,0.156271,0.090909,0.081133,0.267619,Willian Maranhão,Avaí,Avaí,"LCMF, LB, LDMF",LCMF,8,28,1000000,2025-12-31,28,2246,Brazil,Brazil,left,179,80,no,BRA2,Testing,2024,Segundo Volante Organizador,0.268,39,46,15,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,10,20,36,38.0,39,44.5,45.0,40,40.0,42,78,56,21,17,15,3,2,13,13,8
39,0.792526,0.084887,0.104109,0.87069,0.164118,0.285714,0.317204,0.0,0.261364,0.185242,0.260143,Erick Varão,Amazonas,Amazonas,"RCMF, RDMF, LCMF",RCMF,8,28,0,2024-12-31,18,1380,Brazil,Brazil,right,182,70,no,BRA2,Testing,2024,Segundo Volante Organizador,0.26,40,46,13,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,11,42,45,3.0,22,13.5,23.0,46,19.0,28,76,8,2,93,52,70,50,0,58,39
40,0.496134,0.20202,0.242786,0.293103,0.249603,0.047619,0.172043,0.295715,0.244318,0.173631,0.258646,Matheus Trindade,Paysandu,Paysandu,"LCMF, LDMF, RDMF",LCMF,8,28,200000,2024-12-31,12,840,Brazil,Brazil,right,175,80,no,BRA2,Testing,2024,Segundo Volante Organizador,0.259,41,46,10,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,29,35,39,25.0,16,39.0,41.0,30,20.5,32,36,23,15,45,65,15,10,34,55,30
41,0.259021,0.0,0.184204,1.0,0.102527,0.333333,0.44086,0.188273,0.477273,0.37829,0.240821,Juninho,América Mineiro,América Mineiro,"RCMF, AMF",RCMF,8,37,250000,2024-12-31,33,3092,Brazil,Brazil,right,170,66,no,BRA2,Testing,2024,Segundo Volante Organizador,0.241,42,46,8,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,45,46,42,1.0,34,8.0,13.0,37,5.0,7,2,0,8,97,26,82,71,19,89,84
42,0.356959,0.309714,0.228066,0.267241,0.170035,0.333333,0.311828,0.113363,0.289773,0.324544,0.215845,Marlon,Grêmio Novorizontino,Grêmio Novorizontino,LCMF,LCMF,8,34,300000,2024-12-31,31,2480,Brazil,Brazil,right,175,76,no,BRA2,Testing,2024,Segundo Volante Organizador,0.216,43,46,6,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,42,26,41,26.5,21,8.0,24.5,43,18.0,15,8,43,10,42,54,82,46,6,60,67
