Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Passes_Laterais_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Passes_Laterais_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Passes_Laterais_Certos_Percentil
46,0.52474,0.658179,0.358276,0.243416,0.082864,0.36695,0.540989,JP Galvão,Chapecoense,Chapecoense,RB,RB,1,23,0,,14,836,Brazil,Brazil,right,184,75,yes,BRA2,Testing,2024,Lateral Defensivo,0.541,47,70,32,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,25.0,12,24,58,68,39,64,82,65,17,2,44
47,0.59375,0.634403,0.0,0.325279,0.326385,0.309926,0.517853,João Gabriel,Ponte Preta U23,Ponte Preta,"RB, LB",RB,1,19,0,,12,837,Brazil,Brazil,unknown,0,0,no,BRA2,Testing,2024,Lateral Defensivo,0.518,48,70,31,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,19.0,14,70,42,52,44,72,80,0,40,25,37
48,0.420573,0.240599,0.014758,0.837166,0.364861,0.45024,0.512433,Eduardo Diniz,Ituano,Ituano,"LB, LWB",LB,1,35,0,2024-12-31,9,722,Brazil,Brazil,left,179,68,no,BRA2,Testing,2024,Lateral Defensivo,0.512,49,70,30,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,38.0,61,66,3,48,31,45,12,5,95,31,55
49,0.260417,0.345299,0.439064,0.200109,0.406359,0.368528,0.49749,Bryan,Paysandu,Paysandu,"LB, RB",LB,1,28,50000,2024-12-31,18,1466,Brazil,Brazil,right,175,74,no,BRA2,Testing,2024,Lateral Defensivo,0.497,50,70,28,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,57.0,50,14,61,42,38,18,28,80,12,40,45
50,0.404948,0.377777,0.270041,0.330352,0.387673,0.293564,0.483295,Patrick Brey,Botafogo SP,Botafogo SP,"LB, LWB",LB,1,27,125000,2024-11-30,30,2013,Brazil,"Brazil, Germany",left,177,67,no,BRA2,Testing,2024,Lateral Defensivo,0.483,51,70,27,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,42.0,46,31,40,47,46,40,34,55,42,32,34
51,0.417969,0.257743,0.52596,0.225905,0.219903,0.248525,0.478199,Marcelinho,Chapecoense,Chapecoense,RB,RB,1,26,0,,24,1827,Brazil,Brazil,right,169,71,no,BRA2,Testing,2024,Lateral Defensivo,0.478,52,70,25,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,39.0,57,10,60,64,57,44,18,85,14,8,18
52,0.269531,0.374128,0.091649,0.529254,0.449723,0.314744,0.457251,Rodrigo Soares,Grêmio Novorizontino,Grêmio Novorizontino,"RB, RWB",RB,1,31,1000000,2024-11-30,30,2065,Brazil,Brazil,right,176,73,no,BRA2,Testing,2024,Lateral Defensivo,0.457,53,70,24,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,56.0,47,61,21,32,43,20,32,12,70,54,38
53,0.41276,0.50258,0.253638,0.272571,0.251263,0.293712,0.441414,Jean Victor,Botafogo SP,Botafogo SP,"LB, LWB",LB,1,30,50000,2024-12-05,29,1964,Brazil,Brazil,left,181,72,no,BRA2,Testing,2024,Lateral Defensivo,0.441,54,70,22,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,40.0,26,32,54,58,45,42,62,54,22,17,35
54,0.234375,0.145571,0.127215,0.511402,0.462909,0.374715,0.441408,Patric,,Amazonas,RB,RB,1,35,200000,,8,806,Brazil,Brazil,right,173,79,no,BRA2,Testing,2024,Lateral Defensivo,0.441,55,70,21,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,58.5,67,58,22,30,37,16,4,17,68,57,47
55,0.401042,0.426159,0.136852,0.276608,0.4059,0.292576,0.430512,Matheus Bahia,Ceará,Ceará,LB,LB,1,25,1200000,2026-12-31,30,2766,Brazil,Brazil,left,181,75,yes,BRA2,Testing,2024,Lateral Defensivo,0.431,56,70,20,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,43.0,39,57,51,43,47,38,44,18,27,38,32
56,0.591146,0.496401,0.078488,0.157375,0.249853,0.259397,0.424999,Richard,Ituano,Ituano,LB,LB,1,19,0,,14,1193,Brazil,Brazil,left,175,71,no,BRA2,Testing,2024,Lateral Defensivo,0.425,57,70,18,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,20.0,28,64,67,59,54,71,60,8,4,15,22
57,0.372396,0.232907,0.236328,0.320783,0.320486,0.290529,0.416901,Mancha,Chapecoense,Chapecoense,LB,LB,1,23,500000,2026-04-30,24,2380,Brazil,"Brazil, Italy",left,178,73,no,BRA2,Testing,2024,Lateral Defensivo,0.417,58,70,17,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,47.0,62,39,43,53,49,32,11,44,38,24,30
58,0.191406,0.135224,0.374677,0.362876,0.392662,0.200567,0.413823,Guilherme Lazaroni,Ituano,Ituano,LB,LB,1,31,0,2024-11-30,11,915,Brazil,Brazil,left,182,80,no,BRA2,Testing,2024,Lateral Defensivo,0.414,59,70,15,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,62.5,68,19,37,46,63,10,2,72,47,34,10
59,0.553385,0.390246,0.210295,0.13258,0.202677,0.283864,0.409731,Hayner,Santos,Santos,"RB, LB, RW",RB,1,29,800000,2024-12-31,20,749,Brazil,Brazil,right,178,71,no,BRA2,Testing,2024,Lateral Defensivo,0.41,60,70,14,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,24.0,42,42,68,65,52,65,40,40,2,7,25
60,0.334635,0.287136,0.180062,0.399837,0.244171,0.318629,0.409466,Alex Ruan,Brusque,Brusque,LB,LB,1,31,100000,2024-11-30,15,1205,Brazil,Brazil,left,175,68,no,BRA2,Testing,2024,Lateral Defensivo,0.409,61,70,12,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,51.0,54,47,31,61,42,27,22,32,55,12,40
61,0.449219,0.448576,0.112488,0.272832,0.331719,0.25006,0.40071,Sander,Goiás,Goiás,LB,LB,1,34,250000,2024-12-31,20,1706,Brazil,Brazil,left,176,74,no,BRA2,Testing,2024,Lateral Defensivo,0.401,62,70,11,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,34.0,34,60,53,51,56,51,51,14,24,27,20
62,0.360677,0.41149,0.115983,0.326296,0.303956,0.290109,0.391033,S. Ocampos,Operário PR,Operário PR,RB,RB,1,22,0,,10,730,Paraguay,Paraguay,right,178,68,no,BRA2,Testing,2024,Lateral Defensivo,0.391,63,70,10,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,49.0,41,59,41,54,50,30,41,15,41,22,28
63,0.072917,0.213114,0.205414,0.531195,0.398683,0.246957,0.36257,Reverson,Grêmio Novorizontino,Grêmio Novorizontino,"LB, LCB, LWB",LB,1,27,200000,2025-12-31,28,2203,Brazil,Brazil,left,175,71,no,BRA2,Testing,2024,Lateral Defensivo,0.363,64,70,8,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,69.0,64,44,20,45,58,1,8,37,71,35,17
64,0.282552,0.48478,0.148094,0.269976,0.224107,0.203015,0.290102,Ezequiel,Amazonas,Amazonas,RB,RB,1,31,300000,2024-12-31,24,2098,Brazil,Brazil,right,178,70,no,BRA2,Testing,2024,Lateral Defensivo,0.29,65,70,7,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,55.0,29,55,55,63,62,21,58,21,21,10,11
65,0.31901,0.438498,0.361524,0.0,0.0,0.020342,0.277685,Kevyn,Paysandu,Paysandu,LB,LB,1,26,100000,2025-12-31,28,2270,Brazil,Brazil,left,178,76,no,BRA2,Testing,2024,Lateral Defensivo,0.278,66,70,5,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,53.0,37,23,70,70,68,24,47,67,0,0,2
66,0.085938,0.095281,0.198936,0.182539,0.115479,0.572787,0.269374,Sávio,Operário PR,Operário PR,RB,RB,1,28,100000,2024-11-15,12,879,Brazil,Brazil,right,169,64,no,BRA2,Testing,2024,Lateral Defensivo,0.269,67,70,4,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,68.0,69,45,62,66,19,2,1,35,11,5,72
67,0.165365,0.214665,0.086127,0.289022,0.345243,0.219299,0.236674,Maílton,Chapecoense,Chapecoense,"RB, RW",RB,1,26,700000,2026-06-30,19,1140,Brazil,Brazil,right,169,71,yes,BRA2,Testing,2024,Lateral Defensivo,0.237,68,70,2,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,64.0,63,62,50,50,61,8,10,11,28,28,12
68,0.123698,0.333417,0.145647,0.26452,0.22997,0.088738,0.181421,Raí Ramos,Ceará,Ceará,"RB, RW",RB,1,30,500000,2025-12-31,22,1276,Brazil,Brazil,right,179,78,yes,BRA2,Testing,2024,Lateral Defensivo,0.181,69,70,1,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,67.0,51,56,56,62,67,4,27,20,20,11,4
69,0.0,0.0,0.164612,0.028478,0.003858,0.003568,0.0,Emerson Negueba,Botafogo SP,Botafogo SP,"RB, RW, LW",RB,1,23,400000,2026-12-31,32,2459,Brazil,Brazil,right,175,75,yes,BRA2,Testing,2024,Lateral Defensivo,0.0,70,70,0,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,70.0,70,51,69,69,69,0,0,27,1,1,1
