Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
20,Bruno Melo,Coritiba,Coritiba,"LCB, LB",LCB,4,32,400000,2024-12-31,31,3077,Brazil,Brazil,left,186,78,yes,6.58,2.576211,1.752595,0.32,4.92,3.190474,12.985824,6.931775,17.638023,0.349371,0.0575,0.38,4.010136999999999,BRA2,Testing,2024,0.5278044542334276,0.4836253744188669,0.5057149143261472
21,César Martins,Grêmio Novorizontino,Grêmio Novorizontino,"CB, RCB",CB,4,31,750000,2025-12-10,10,735,Brazil,Brazil,right,191,88,no,10.29,2.45176,3.307696,1.22,8.91,4.895079,10.90042,7.467174,18.608211,1.46674,0.246679,0.49,4.0392,BRA2,Testing,2024,0.8995720125814369,0.8744148290395438,0.8869934208104904
22,Lucas Maia,Paysandu,Paysandu,LCB,LCB,4,31,800000,2024-11-30,26,2472,Brazil,Brazil,left,192,85,no,8.01,3.203946,2.2544,0.73,7.6,1.713306,13.037508,4.772803,18.4212,0.036414,0.035,0.76,2.87885,BRA2,Testing,2024,0.6857036001546027,0.6370133659426385,0.6613584830486205
23,Allan Godói,Operário PR,Operário PR,RCB,RCB,4,31,100000,2024-11-15,9,760,Brazil,Brazil,right,187,81,no,7.82,4.266,2.366856,0.47,5.36,1.89357,9.826792,3.904929,15.280335000000001,1.658125,0.472,2.37,2.36739,BRA2,Testing,2024,0.5303591500819583,0.5335746169674008,0.5319668835246796
24,Matheus Salustiano,Guarani,Guarani,"LCB, RCB",LCB,4,31,100000,2024-11-30,23,2291,Brazil,Brazil,right,183,76,no,8.49,3.768264,2.59464,0.82,6.0,2.27688,9.074155999999999,3.140988,15.439064,0.590688,0.160008,0.2,1.804635,BRA2,Testing,2024,0.5552947635581088,0.4915251750188104,0.5234099692884596
25,Rafael Thyere,Sport Recife,Sport Recife,RCB,RCB,4,31,600000,2025-12-31,19,1922,Brazil,Brazil,right,189,86,no,6.79,2.010592,2.295506,0.8,6.4,2.809325,14.377122,6.458515000000001,23.418178,0.2799719999999999,0.0,1.59,5.571166999999999,BRA2,Testing,2024,0.6544731860478594,0.6150455084277956,0.6347593472378275
26,Éverton Alemão,Brusque,Brusque,RCB,RCB,4,31,100000,2024-11-30,19,1488,Brazil,Brazil,right,185,80,no,10.89,5.264688,3.14503,0.6,6.95,2.420416,10.160472,3.810592,12.461316,0.544103,0.18,0.6,2.11875,BRA2,Testing,2024,0.7429509692648889,0.7634527099245575,0.7532018395947232
27,Alisson Cassiano,Sport Recife,Sport Recife,RCB,RCB,4,30,150000,2024-12-31,10,888,Brazil,Brazil,right,187,83,no,8.31,3.851315999999999,2.939586,0.81,6.99,2.838108,15.505212,6.69075,21.78866,0.204,0.0,1.62,4.963,BRA2,Testing,2024,0.859780818069774,0.8512486727592118,0.8555147454144929
28,Jean Irmer,Ceará,Ceará,"CB, DMF, RCB",CB,4,30,400000,2024-12-31,16,723,Brazil,Brazil,right,183,80,no,10.71,3.236219999999999,2.23951,1.12,8.67,3.359224,5.849088,5.102736999999999,11.951099,0.8708,0.373296,0.5,3.612192,BRA2,Testing,2024,0.8383200850118476,0.854629958767048,0.8464750218894478
29,Wanderson,Paysandu,Paysandu,RCB,RCB,4,30,100000,2024-11-30,20,1866,Brazil,Brazil,right,187,85,no,9.36,3.955116,2.750398,0.63,8.7,2.02686,10.800144,3.85782,13.505032,0.725,0.19,0.63,3.180716,BRA2,Testing,2024,0.7477020332141004,0.7252599604378149,0.7364809968259577
